,Country,Health.expenditures....of.GDP.,Literacy....,Physicians.density..physicians.1.000.population.,Obesity - adult prevalence rate (%),Life expectancy at birth (years),H_bed_density,Imigrate_Rate,Pop_Density,Death Rate,Recovery Rate,GDP - per capita (PPP) (US$),Unemployment rate (%)
157,Saint Martin,6.536708860759492,9.223027354217395,1.910361445783132,18.593333333333337,73.69005524861878,3.2655405405405413,-5.6,6.386879319362645,0.0625,0.34375,19300.0,0.0
158,San Marino,6.8,9.223027354217395,6.15,18.593333333333337,83.4,3.8,7.2,6.318968113746434,0.0967741935483871,0.1424731182795699,59000.0,8.1
159,Saudi Arabia,5.8,9.731392500562292,2.39,35.4,75.7,2.7,4.1,2.772588722239781,0.013596572918606815,0.16558018252933507,54500.0,6.0
160,Senegal,4.0,7.20416546173115,0.07,8.8,62.5,3.2655405405405413,-1.4,4.343805421853684,0.006688963210702341,0.6120401337792643,3500.0,48.0
161,Serbia,9.4,9.939818911831342,3.13,21.5,75.9,5.7,0.0,4.5217885770490405,0.021052631578947368,0.08958566629339305,15100.0,14.1
162,Seychelles,3.4,9.581231653602787,0.95,14.0,75.2,3.6,1.0,5.342334251964811,0.0,0.0,29300.0,3.0
163,Singapore,4.3,9.848857801796104,2.31,6.1,85.5,2.4,12.7,9.028578658440741,0.003075030750307503,0.18788437884378845,94100.0,2.2
164,Sint Maarten,6.536708860759492,9.223027354217395,1.910361445783132,18.593333333333337,73.69005524861878,3.2655405405405413,0.3152941176470587,0.0,0.17307692307692307,0.09615384615384616,0.0,0.0
165,Slovakia,6.9,9.223027354217395,2.46,20.5,77.4,5.8,0.1,4.718498871295094,0.0023952095808383233,0.13532934131736524,33100.0,8.1
166,Slovenia,8.5,9.984988733093292,2.81,20.2,81.2,4.6,1.0,4.653960350157523,0.045901639344262286,0.12459016393442625,34500.0,6.6
167,Somalia,6.536708860759492,9.223027354217395,0.02,8.3,53.2,8.7,-5.6,2.9444389791664403,0.03333333333333333,0.03333333333333333,0.0,0.0
168,South Africa,8.2,9.715966241192895,0.91,28.3,64.1,3.2655405405405413,-0.9,3.828641396489095,0.011180124223602485,0.16977225672877844,13600.0,27.5
169,Spain,9.2,9.91463564635635,4.07,23.8,81.8,3.0,7.5,4.59511985013459,0.10487762840399864,0.3878202918533839,38400.0,17.2
170,Sri Lanka,3.0,9.586448768965493,0.96,5.2,77.1,3.6,-1.3,5.84354441703136,0.030042918454935626,0.2618025751072961,12900.0,4.4
